Date,Open,High,Low,Close,Adj Close,Volume
2021-03-19,28.120001,28.120001,27.400000,27.670000,27.670000,539600
2021-03-22,28.889999,29.240000,28.290001,28.350000,28.350000,770500
2021-03-23,28.160000,28.315001,27.110001,27.240000,27.240000,558900
2021-03-24,27.559999,27.674999,26.030001,26.139999,26.139999,865600
2021-03-25,25.850000,26.660000,25.260000,26.650000,26.650000,859600
2021-03-26,26.760000,27.389999,26.500000,27.110001,27.110001,692600
2021-03-29,27.049999,27.660000,26.350000,26.580000,26.580000,571100
2021-03-30,26.430000,27.100000,26.299999,27.040001,27.040001,360700
2021-03-31,27.330000,27.440001,26.830000,26.830000,26.830000,447200
2021-04-01,26.799999,27.160000,26.420000,26.940001,26.940001,388100
2021-04-05,27.250000,27.299999,26.791000,27.010000,27.010000,281100
2021-04-06,27.010000,27.610001,26.990000,27.020000,27.020000,372200
2021-04-07,27.160000,27.440001,26.750000,27.250000,27.250000,410400
2021-04-08,27.360001,27.650000,26.980000,27.540001,27.540001,608900
2021-04-09,27.610001,27.900000,27.080000,27.850000,27.850000,371600
2021-04-12,28.000000,28.430000,27.580000,28.330000,28.330000,514500
2021-04-13,28.670000,28.990999,28.160000,28.240000,28.240000,493200
2021-04-14,28.480000,29.110001,28.260000,29.070000,29.070000,609400
2021-04-15,29.250000,29.389999,28.830000,29.080000,29.080000,585800
2021-04-16,29.400000,29.980000,29.120001,29.900000,29.900000,408900
2021-04-19,29.750000,29.950001,29.200001,29.750000,29.750000,447700
2021-04-20,29.760000,30.070000,29.250000,29.570000,29.570000,522100
2021-04-21,29.389999,30.000000,29.299999,29.809999,29.809999,443500
2021-04-22,30.170000,30.559999,29.809999,30.219999,30.219999,566800
2021-04-23,30.250000,31.290001,30.120001,31.120001,31.120001,612700
2021-04-26,31.190001,31.190001,30.200001,30.330000,30.330000,589300
2021-04-27,30.629999,30.830000,29.709999,30.209999,30.209999,770600
2021-04-28,30.059999,30.559000,29.510000,30.049999,30.049999,619400
2021-04-29,30.350000,30.530001,29.809999,30.290001,30.290001,379500
2021-04-30,30.030001,30.639999,30.030001,30.250000,30.250000,460400
2021-05-03,30.240000,30.639999,29.459999,29.540001,29.540001,946000
2021-05-04,29.389999,29.900000,29.160000,29.730000,29.730000,358700
2021-05-05,29.770000,30.379999,29.615000,29.930000,29.930000,300400
2021-05-06,29.920000,30.580000,29.760000,30.570000,30.570000,338100
2021-05-07,30.480000,30.600000,30.120001,30.129999,30.129999,417800
2021-05-10,30.129999,30.129999,29.000000,29.040001,29.040001,539900
2021-05-11,28.709999,29.010000,28.120001,28.570000,28.570000,685100
2021-05-12,28.400000,28.610001,27.719999,27.719999,27.719999,572600
2021-05-13,27.879999,28.370001,27.469999,27.870001,27.870001,577400
2021-05-14,28.120001,29.030001,27.770000,28.860001,28.860001,549300
2021-05-17,28.750000,29.330000,28.520000,29.270000,29.270000,290200
2021-05-18,29.270000,29.750000,29.209999,29.219999,29.219999,295500
2021-05-19,28.760000,29.230000,28.480000,28.930000,28.930000,437000
2021-05-20,28.950001,29.350000,28.635000,29.290001,29.290001,337900
2021-05-21,29.480000,29.730000,28.780001,28.799999,28.799999,291900
2021-05-24,28.870001,29.209999,28.725000,29.150000,29.150000,427300
2021-05-25,29.090000,29.639999,28.459999,28.500000,28.500000,468900
2021-05-26,28.510000,29.750000,28.459999,29.650000,29.650000,697900
2021-05-27,28.059999,29.450001,27.360001,28.520000,28.520000,1138100
2021-05-28,28.559999,28.719999,27.940001,28.000000,28.000000,704100
2021-06-01,28.129999,28.309999,27.260000,27.570000,27.570000,700700
2021-06-02,26.900000,27.780001,26.900000,27.590000,27.590000,804300
2021-06-03,27.570000,27.760000,26.910000,27.330000,27.330000,491800
2021-06-04,27.469999,27.730000,27.049999,27.299999,27.299999,270800
2021-06-07,27.370001,27.590000,27.160000,27.520000,27.520000,296700
2021-06-08,27.610001,28.219999,27.500000,27.969999,27.969999,464700
2021-06-09,28.150000,28.389999,27.910000,28.100000,28.100000,399300
2021-06-10,28.340000,28.440001,27.860001,27.870001,27.870001,265300
2021-06-11,28.020000,28.650000,27.900000,28.469999,28.469999,344900
2021-06-14,28.680000,28.719999,28.250000,28.490000,28.490000,321000
2021-06-15,28.629999,28.770000,28.391001,28.600000,28.600000,267800
2021-06-16,28.629999,28.645000,28.080000,28.129999,28.129999,318600
2021-06-17,28.190001,28.190001,27.209999,27.840000,27.840000,328200
2021-06-18,27.430000,27.730000,27.139999,27.469999,27.469999,390200
2021-06-21,27.690001,28.049999,27.500000,27.910000,27.910000,268300
2021-06-22,27.700001,27.870001,27.400000,27.610001,27.610001,408600
2021-06-23,27.389999,27.850000,26.809999,27.620001,27.620001,525300
2021-06-24,27.809999,28.122000,27.430000,28.000000,28.000000,307900
2021-06-25,28.110001,28.160000,27.910000,28.000000,28.000000,882600
2021-06-28,28.000000,28.000000,27.330000,27.549999,27.549999,893700
2021-06-29,27.700001,27.940001,27.500000,27.600000,27.600000,313700
2021-06-30,27.480000,27.559999,27.129999,27.139999,27.139999,573600
2021-07-01,27.309999,27.309999,26.770000,27.160000,27.160000,626300
2021-07-02,27.250000,27.299999,26.570000,26.610001,26.610001,399800
2021-07-06,26.620001,26.620001,26.010000,26.299999,26.299999,473300
2021-07-07,26.190001,26.469999,25.809999,25.900000,25.900000,339500
2021-07-08,25.480000,25.965000,25.145000,25.879999,25.879999,414500
2021-07-09,26.180000,26.459999,26.000000,26.410000,26.410000,299500
2021-07-12,26.440001,26.440001,26.010000,26.129999,26.129999,219000
2021-07-13,25.950001,26.010000,25.620001,25.700001,25.700001,296600
2021-07-14,26.290001,26.610001,26.020000,26.290001,26.290001,555900
2021-07-15,26.090000,26.400000,25.655001,25.910000,25.910000,347300
2021-07-16,26.160000,26.250000,25.410000,25.490000,25.490000,310700
2021-07-19,25.150000,25.230000,24.580000,24.959999,24.959999,567100
2021-07-20,25.160000,26.230000,24.959999,26.040001,26.040001,570300
2021-07-21,26.350000,26.750000,26.200001,26.600000,26.600000,402500
2021-07-22,26.440001,26.520000,25.924999,25.980000,25.980000,351400
2021-07-23,26.150000,26.860001,25.930000,26.790001,26.790001,349400
2021-07-26,26.900000,27.110001,26.520000,26.549999,26.549999,297800
2021-07-27,26.360001,26.620001,26.150000,26.580000,26.580000,309400
2021-07-28,26.660000,26.980000,26.292000,26.700001,26.700001,339400
2021-07-29,26.780001,27.570000,26.780001,27.260000,27.260000,389000
2021-07-30,27.250000,27.850000,27.070000,27.610001,27.610001,437000
2021-08-02,27.730000,28.059999,27.600000,27.820000,27.820000,707300
2021-08-03,27.930000,28.639999,27.535000,28.610001,28.610001,580500
2021-08-04,28.420000,28.870001,27.900000,28.049999,28.049999,718300
2021-08-05,30.750000,31.230000,29.610001,29.830000,29.830000,1240400
2021-08-06,30.040001,30.540001,29.915001,30.020000,30.020000,496600
2021-08-09,29.799999,29.910000,29.459999,29.750000,29.750000,270900
2021-08-10,29.670000,30.559999,29.670000,30.549999,30.549999,453100
2021-08-11,30.660000,30.735001,30.000000,30.059999,30.059999,318700
2021-08-12,30.205000,30.205000,29.531000,29.719999,29.719999,275100
2021-08-13,29.725000,30.160000,29.490000,29.920000,29.920000,276200
2021-08-16,29.750000,30.100000,29.299999,29.309999,29.309999,295700
2021-08-17,28.980000,29.000000,28.209999,28.320000,28.320000,432900
2021-08-18,28.139999,28.799999,28.139999,28.209999,28.209999,342200
2021-08-19,27.940001,28.990000,27.870001,28.959999,28.959999,403500
2021-08-20,29.030001,29.510000,28.910000,29.320000,29.320000,329500
2021-08-23,29.570000,30.010000,29.469999,29.850000,29.850000,348800
2021-08-24,29.879999,30.020000,29.580000,29.799999,29.799999,269500
2021-08-25,29.920000,30.520000,29.760000,30.020000,30.020000,270800
2021-08-26,29.459999,30.461000,29.459999,30.030001,30.030001,352100
2021-08-27,30.010000,30.870001,29.910000,30.690001,30.690001,472900
2021-08-30,30.820000,31.000000,30.510000,30.830000,30.830000,402800
2021-08-31,30.799999,30.980000,30.530001,30.950001,30.950001,356100
2021-09-01,31.049999,31.080000,30.520000,31.049999,31.049999,619000
2021-09-02,31.100000,31.440001,30.910000,31.049999,31.049999,443700
2021-09-03,30.910000,30.910000,30.450001,30.660000,30.660000,260900
2021-09-07,30.549999,31.670000,30.549999,30.889999,30.889999,608300
2021-09-08,30.719999,30.830000,30.030001,30.219999,30.219999,304200
2021-09-09,30.270000,30.629999,29.809999,29.820000,29.820000,445500
2021-09-10,30.129999,30.620001,29.930000,30.280001,30.280001,401100
2021-09-13,30.520000,30.750000,30.180000,30.680000,30.680000,429700
2021-09-14,30.780001,30.780001,29.350000,29.650000,29.650000,489300
2021-09-15,29.650000,30.280001,29.520000,30.270000,30.270000,541700
2021-09-16,30.370001,30.430000,29.799999,30.219999,30.219999,388500
2021-09-17,30.430000,30.920000,29.950001,29.980000,29.980000,2377000
2021-09-20,29.139999,29.629999,28.450001,29.049999,29.049999,829800
2021-09-21,29.209999,29.350000,28.590000,28.740000,28.740000,462100
2021-09-22,28.770000,29.190001,28.709999,28.959999,28.959999,436800
2021-09-23,29.030001,29.360001,28.990000,29.190001,29.190001,533600
2021-09-24,29.020000,29.415001,28.700001,29.190001,29.190001,448500
2021-09-27,29.100000,30.150000,29.100000,29.990000,29.990000,789800
2021-09-28,29.990000,29.990000,29.180000,29.629999,29.629999,498400
2021-09-29,29.830000,30.110001,29.440001,30.010000,30.010000,434900
2021-09-30,29.900000,30.040001,28.900000,29.049999,29.049999,488900
2021-10-01,29.270000,29.719999,28.719999,29.580000,29.580000,369500
2021-10-04,29.650000,29.650000,28.830000,29.100000,29.100000,434900
2021-10-05,29.260000,30.170000,29.243000,29.980000,29.980000,420000
2021-10-06,29.500000,29.879999,29.400000,29.820000,29.820000,242100
2021-10-07,30.170000,30.670000,30.110001,30.290001,30.290001,245000
2021-10-08,30.350000,30.350000,29.540001,29.639999,29.639999,230000
2021-10-11,29.780001,29.870001,29.459999,29.580000,29.580000,192500
2021-10-12,29.580000,29.709999,29.170000,29.180000,29.180000,213800
2021-10-13,29.219999,29.540001,28.775000,29.480000,29.480000,260500
2021-10-14,29.799999,29.999001,29.440001,29.600000,29.600000,428200
2021-10-15,30.110001,30.129999,29.100000,29.120001,29.120001,472400
2021-10-18,28.940001,29.459999,28.590000,29.450001,29.450001,210600
2021-10-19,29.370001,29.610001,29.110001,29.320000,29.320000,204200
2021-10-20,29.365000,29.930000,29.280001,29.480000,29.480000,179900
2021-10-21,29.570000,29.820000,29.430000,29.740000,29.740000,190600
2021-10-22,29.719999,30.670000,29.700001,30.580000,30.580000,221000
2021-10-25,30.719999,31.400000,30.530001,31.070000,31.070000,376000
2021-10-26,31.379999,32.130001,30.969999,31.790001,31.790001,905200
2021-10-27,31.709999,31.830000,30.889999,31.620001,31.620001,580400
